Model,RMSE Y (Outcome),RMSE D (cp_active),RMSE D (lez_active),RMSE D (cp_x_lez)
OLS - Basic,0.5539066222600086,0.3469615899306756,0.33147251651755716,0.3008951574561918
L1 (Lasso / Logit L1),0.524960212795697,0.3057688834684963,0.2822102072321405,0.25218716706595784
L2 (Ridge / Logit L2),0.55000856606906,0.30772168308540204,0.2825695966782686,0.25634629031765194
Elastic Net,0.5250402537004175,0.30674034422373675,0.2845686665195362,0.2541303427565399
Random Forest,0.4616465093622127,0.2864352602465479,0.2826476577825637,0.25502415644067833
Boosted Trees,0.4413978070955909,0.2880952765319686,0.30162315872562023,0.2595566558807849
