Model,Trim_Threshold,Policy,Global_ATE_coef,Global_ATE_pval,Global_ATT_coef,Global_ATT_pval
L1 (Lasso / Logit L1),0.05,cp_active,-0.2750177329522759,7.08161756712844e-05,-0.28154281676389575,9.90382823062852e-05
L1 (Lasso / Logit L1),0.05,lez_active,-0.08984473968666266,0.03930146562510539,-0.07666274439732987,0.10086668860074921
L1 (Lasso / Logit L1),0.05,cp_x_lez,-1.3086057834421359,2.90878432451791e-14,-1.3173941727199474,9.85878045867139e-14
L1 (Lasso / Logit L1),0.1,cp_active,-0.2756305457399804,2.4430611767600752e-05,-0.2818513937961568,2.478463822797039e-05
L1 (Lasso / Logit L1),0.1,lez_active,-0.07929379923964752,0.030501932801948684,-0.06822283979293621,0.08672563357541141
L1 (Lasso / Logit L1),0.1,cp_x_lez,-1.3070083011143803,0.0,-1.3150044428254601,4.440892098500626e-16
