cp_active,propensity_score
0,0.0036308032317309354
0,0.008018169238276593
0,0.006998754135669575
0,0.00788292069623536
0,0.05039968235898014
0,0.10573466877160491
0,0.17681441692286326
0,0.20863813684018606
0,0.28215948859054163
0,0.26772623747795027
1,0.28173042858115704
1,0.3107390550731691
1,0.442215034812399
1,0.42553571983269567
1,0.46657701090299275
1,0.5577937332807377
1,0.5642956257980389
0,0.000671865354968879
0,0.0012196509186727306
0,0.0013350108070094412
0,0.0013235044998714217
0,0.00973358576092179
0,0.029586444274178104
0,0.04957771905426952
0,0.060102071189530856
0,0.10790132794059769
0,0.11587144187265498
0,0.1259674779672354
0,0.11746929811836672
0,0.189751360771807
0,0.19181374671320528
0,0.2211258178259793
0,0.24456347120946004
0,0.2711766866839862
0,0.08547889997099195
0,0.13852724744768627
0,0.14494486380970262
0,0.12280134241724876
1,0.45600616702348323
1,0.6552940290432432
1,0.8159933135631754
1,0.8218514026967557
1,0.8686433547187045
1,0.8726338046112354
1,0.8925920699117741
1,0.8920017495252833
1,0.917242502368892
1,0.9470028319621815
1,0.970862590767944
1,0.9721021971541574
1,0.9692162440264174
0,0.0029683567720389455
0,0.005349432722261202
0,0.004655715581704026
0,0.003846058913090461
0,0.019776220956678275
0,0.042074230950458605
1,0.07481029954077609
1,0.09137709924567253
1,0.12083936691750237
1,0.1469058622827067
1,0.1799311356474351
1,0.15520336673746865
1,0.1659742335842845
1,0.19762877826748654
1,0.2591808905844219
1,0.32450560561752645
1,0.3485179680170635
0,0.0012046652052551399
0,0.002910623852303482
0,0.002164024249560973
0,0.0019891610462482593
0,0.011330148299460838
0,0.02320471348256257
0,0.04139827084785989
0,0.048326694200203774
0,0.09291418584210974
1,0.11879035042784407
1,0.1123187671925997
1,0.14628616377633508
1,0.16076148834413362
1,0.25001930699111924
1,0.27823718595059194
1,0.31728808832061584
1,0.35965364824878365
0,0.0023558534337740963
0,0.005246105285727032
0,0.004597761026875547
0,0.00475463801437845
0,0.02274364313856548
0,0.04991387696020605
0,0.07983157500229378
0,0.06577102450603056
0,0.09161571970952623
0,0.0932031663262591
0,0.11030835028703931
0,0.10184271631551041
0,0.13746941051605716
0,0.19811161279812003
0,0.2691149044121762
0,0.36321795047384836
0,0.3422427989849782
0,0.6041560977776665
0,0.7253554637278067
0,0.7289458488168313
0,0.7486634346997308
1,0.9579250829948466
1,0.9827997582598368
1,0.9899076348833695
1,0.9948138528903994
1,0.9963005241414196
1,0.9969096663753979
1,0.9973212890767794
1,0.9974886684619675
1,0.9972092167522931
1,0.9980365921991212
1,0.9985280597182059
1,0.9988316580166873
1,0.9988267554619467
0,0.0014183528589330958
0,0.003244303342074442
